carId,carType,carModel,carYear
55SWF4JB8FU513439,Mercedes-Benz,G-Class,2002
WDDJK7DA7FF917491,Mercury,Mystique,2000
JN8AZ2KR1ET360194,Plymouth,Breeze,2000
KNADM5A39D6997415,Dodge,Caravan,2010
WAUHFAFL5DA091224,Suzuki,Grand Vitara,2005
WBAPK5C52BF907911,Geo,Metro,1994
WAUEL94F06N258284,Cadillac,STS-V,2006
JTEBU4BF1BK924844,Chevrolet,Suburban 2500,2001
JN8AE2KP3F9245914,Lexus,SC,2007
1G6AT5SX6E0859560,Land Rover,Discovery,1998
WBANV13588B075790,Nissan,300ZX,1992
JH4KC1F59EC973469,Volvo,XC70,2011
1G6D05EG0A0620730,Volvo,C70,2000
WA1TFAFL2EA453082,Mitsubishi,Pajero,2001
JH4CL96918C174358,Audi,Cabriolet,1994
1D7CW3GK4AS174735,Pontiac,Grand Prix,1991
WAUFFAFM5CA499561,Nissan,GT-R,2009
1FTEX1C89AF764319,Infiniti,G,2012
3GYFK66N46G749635,BMW,7 Series,1994
WAUGFBFC9EN492688,Toyota,Sienna,2012
KNALN4D70E5401827,Lamborghini,Gallardo,2004
WAUFEAFM9BA183002,Chrysler,Town & Country,2003
3D73M3CL6BG543012,MINI,Cooper,2002
JN1AZ4EH9CM928308,Pontiac,Grand Prix,1996
WBAYM9C51DD449010,GMC,Savana 3500,2011
1G6AB5S34D0684790,BMW,5 Series,2010
1B3CB4HA2AD747820,GMC,Sierra 2500,2004
WAUMF68P26A918305,GMC,Yukon XL 2500,2000
1FA6P0G73F5458044,Mazda,MX-5,2008
1GYS4FEJ7BR598971,Chrysler,Concorde,1999
WBAWL13579P424534,Lotus,Esprit,1991
JN1CY0AP4AM313616,Ford,LTD Crown Victoria,1991
2C3CCAKT5CH900866,BMW,M3,2003
1G6AF5S38E0820764,Pontiac,Torrent,2006
WBADW7C53DE576106,Hyundai,Sonata,1998
1VWAS7A30FC530408,Mazda,RX-8,2006
2G4GN5EC4B9382425,Ford,Aerostar,1997
WBABN33423P576384,Dodge,Intrepid,2004
WBAHL03556D603431,Toyota,RAV4,2009
WBASP4C52AC132368,GMC,Suburban 2500,1999
SCFLDCFP8EG787996,Saab,9-3,2000
1GT01ZCG2CF336647,BMW,3 Series,1999
3C4PDCAB6ET563987,Volkswagen,Passat,1991
2HNYD2H29AH602279,BMW,7 Series,2012
WBALW3C58CC832268,Mazda,Mazda2,2011
1G6DV5EP4E0499465,Nissan,Titan,2011
YV1672MC3CJ298154,Buick,Century,1998
1HGCR2E56FA798737,Cadillac,CTS,2005
1G6YV36A975977336,Mercedes-Benz,SL-Class,2008
WBAVC53588F604175,Mazda,B-Series Plus,2000
5J8TB1H26CA512851,Buick,Riviera,1996
1GD22ZCGXCZ807153,Jeep,Wrangler,2002
WAUGL58E45A052278,Jeep,Cherokee,1999
2G61V5S35D9819546,Mercury,Grand Marquis,1997
WAUXG74F69N041635,Lexus,LX,2009
JTHBE1KSXB0287976,Porsche,911,1998
WAUAT48H65K637030,Suzuki,SJ,1987
5UXFG2C58BL990825,Buick,Century,1990
5XXGM4A76EG239435,Dodge,Dakota Club,2005
1G4CU541744607766,Lincoln,Continental Mark VII,1987
SCFFDAAM3DG619969,Mercedes-Benz,300TE,1993
JTDKTUD37DD441375,Nissan,Xterra,2009
SCBZB25E91C533419,Chevrolet,Silverado 2500,2000
WAUEH98E48A185482,Hummer,H2 SUT,2006
1FTEW1C89FK457556,Acura,NSX,2002
WP0CB2A80FK536242,Toyota,Previa,1993
3CZRE3H38BG117245,Ford,Explorer Sport Trac,2006
WBAVB73527K276420,GMC,Safari,2004
WBAYF4C54DD973085,Hyundai,Elantra,1995
WAUGU44D33N625794,Saab,9-7X,2005
1G6DA1E35D0108419,Mitsubishi,Expo,1993
JTJBM7FX6E5662487,Isuzu,Amigo,2000
3N1CE2CP3EL687880,Nissan,JUKE,2011
WAUNE78PX8A504754,Ford,Bronco,1987
JN8CS1MU0DM612518,Chevrolet,Aveo,2009
4USDU53457L266893,Pontiac,Grand Prix,1982
WAU2GAFC3DN873629,Ram,3500,2012
WVGDP9BP9ED843671,Ford,Country,1967
3VWC17AU0FM360067,Lincoln,Aviator,2003
WAUSG94F89N468501,Lexus,LS,1992
WAUVT58E95A461738,Lotus,Esprit,1985
SCBEC9ZA7FC199944,Eagle,Vision,1993
4A31K2DF8AE598185,Lotus,Elise,2005
WAULT64B84N389219,Chrysler,Sebring,2004
1D4PT6GX9AW949575,Mercedes-Benz,SLS-Class,2011
WBALZ3C57CC533846,Volkswagen,GTI,2003
1D7CW5GK1AS481937,Toyota,RAV4,2002
5FRYD4H43GB617876,Toyota,Celica,1993
WAUYGAFC8CN363902,Ford,Thunderbird,2004
3D73Y3HL7BG455700,GMC,Sierra 3500,2012
2G61P5S35E9258499,Honda,Accord,1996
WAULC68E95A080453,Volvo,S60,2009
WAUML54B82N282120,Geo,Tracker,1994
WBANA73574B355788,Chevrolet,Suburban,2006
NM0KS9BN8BT416876,GMC,Rally Wagon 2500,1993
SCBCU7ZA1AC443069,Audi,S5,2010
JM1NC2PF5F0727551,Buick,Skylark,1989
3D4PG9FV3AT547899,Chevrolet,SSR,2006
JTHBW1GG7D2027981,Mercedes-Benz,Sprinter 3500,2012
5N1AN0NU5EN064350,Pontiac,Bonneville,1966
3N1BC1AP9BL684976,Toyota,Tacoma,2009
3D73M4CL5BG159695,Isuzu,Amigo,1992
3VW1K7AJ4CM352981,Toyota,Camry,1999
1G6DM57T260884361,Mazda,Mazda3,2010
WP1AA2AP0AL743388,Mazda,929,1993
5XYKT3A16BG949073,Ford,Club Wagon,1996
1FTEW1C88AK473143,Lamborghini,Aventador,2012
WBAAN37471N798465,Infiniti,J,1994
KM8JT3AB5BU001049,Ford,Ranger,1986
JN8AZ2KR6DT768639,Volvo,S80,2009
1D7RV1CT9BS238592,GMC,Envoy,2003
JN1AZ4EH4FM149452,Dodge,Aspen,1976
WBABV13425J541614,Plymouth,Acclaim,1992
5N1AN0NU5EN647906,Infiniti,QX,2005
WA1KK98R19A979863,Pontiac,Torrent,2006
3D73M3HL4BG176720,Chevrolet,1500,1997
1G6DK5E3XD0159211,Ford,Aerostar,1989
SAJWA0FA1AH776309,Mitsubishi,Eclipse,1990
KNAGM4AD0F5487205,Toyota,Prius,2005
5FRYD3H4XGB103260,Daewoo,Lanos,2000
WAUSG74F99N351918,Chevrolet,Uplander,2007
YV140MEB9F1117334,Mazda,B-Series,1990
1G6KD57Y08U636608,Cadillac,XLR-V,2009
WAUKG68E45A507750,Jeep,Liberty,2008
3FAHP0JA0AR725515,Ford,Thunderbird,1955
2C3CCAKT2CH007599,Audi,5000S,1988
WA1LGBFE5ED627648,Land Rover,Range Rover Sport,2007
WP0AA2A82AU298529,Honda,Accord,1991
5N1AA0ND6EN861315,Nissan,Maxima,1993
WAUKF68E85A777678,Dodge,Ram 3500,1997
1GYFC36209R710160,Toyota,Sequoia,2004
19UUA66227A684484,Chevrolet,Corvette,1965
3D7TP2CT2BG983830,GMC,1500,1994
WBAFU7C56BC763038,Volvo,940,1995
5UXFA13584L521314,Chrysler,PT Cruiser,2010
WBAWC73508E428454,Honda,S2000,2003
1FTEW1CM5BK324509,BMW,530,2006
JTHCL5EFXF5907637,Maybach,62,2006
1GYEE637570743194,Audi,S6,2010
2G4WE587371432375,Toyota,Land Cruiser,1993
1G6YV36AX85006847,Porsche,Boxster,2002
1C6RD6FK8CS757767,Audi,5000S,1988
3GYFNDE33DS612840,Volvo,XC70,2004
1FMCU9E71AK178980,Chrysler,New Yorker,1994
1N6AA0EJXFN384879,Volkswagen,Passat,1990
5UXFF0C59AL429734,Mercury,Topaz,1992
KNALN4D7XE5641287,Toyota,Tacoma Xtra,1995
1G6AZ5S31E0487766,Ram,2500,2012
19UUA65605A581940,Mazda,RX-8,2005
1D4RE5GG5BC695315,Daewoo,Nubira,2002
WAUKF78E88A161702,Maserati,Quattroporte,1985
1G6DV1EP3F0134060,Audi,Allroad,2001
WVWAN7AN2EE700833,Suzuki,Daewoo Lacetti,2006
1FMJU1J55AE263574,Suzuki,SX4,2011
4F2CY0C73AK365678,Toyota,Corolla,2002
WAUMF98K99A519109,Jeep,Wrangler,2007
WBAET37412N951298,Porsche,Cayenne,2009
WUAYU48H88K500807,Lexus,SC,2006
3C6TD5MT7CG178109,GMC,Yukon XL 2500,2002
1G6DK5EG6A0726450,Toyota,FJ Cruiser,2007
KNADH5A37A6691667,Buick,Enclave,2010
5N1BA0ND0FN264201,Mercury,Cougar,1992
1N4AL3AP0DC937532,Mitsubishi,Galant,2003
3GYFNEE38FS507753,Buick,Coachbuilder,1990
1G4GG5E37DF469112,Dodge,Dakota,1994
1G4GC5G37EF267297,Subaru,Legacy,1993
JN1BJ0HP1FM951805,Ford,Taurus,1995
JH4DC53025S688627,Dodge,Caliber,2010
SALVP1BG7CH491795,Ford,Fusion,2012
KNDJT2A25D7812141,Dodge,Ram 3500,1997
JA32U2FU8FU376903,Subaru,Legacy,2000
3VW4S7AT5EM913318,Dodge,Aries,1981
KMHHT6KD0BU821748,Chevrolet,1500,1998
JTHFF2C2XD2476413,Mazda,Mazda3,2005
WBA3V5C59F5146120,Dodge,Ram 1500 Club,1997
2HNYD2H86CH206043,Mazda,B-Series,1989
JM1NC2PF4F0587511,Audi,S8,2006
JN1CV6EK3CM809830,Chevrolet,Corvette,1963
JN8AS5MT7CW978761,Volkswagen,New Beetle,2009
1G6KD57YX8U172873,GMC,Savana 3500,2002
1GYS3FEJ6BR404465,Mazda,Familia,1986
1G6DG577190161096,Chevrolet,S10 Blazer,1994
WAUEH64B91N313532,Ford,Escort,1989
3VW4S7AT4EM796282,Mercury,Topaz,1987
WAUJT64B74N997255,Mazda,Millenia,1995
WA1DGAFE1DD267761,Saturn,S-Series,1998
2T1BPRHE7EC758455,Volkswagen,Jetta,1998
SCFFDABE7CG412653,Nissan,Sentra,2004
WBA3B9C55FF157867,GMC,Rally Wagon 2500,1993
1D7RV1GP2BS998134,Hyundai,Tucson,2008
YV4960DLXA2974100,Audi,A5,2008
5FRYD4H48EB037813,GMC,Savana,2010
1N6AF0LY7FN667547,Chevrolet,Aveo,2008
5N1AA0NC2FN627522,Buick,Enclave,2010
WBAYF4C56FD449004,Maserati,GranTurismo,2008
WBAUT9C57BA499166,Mitsubishi,GTO,1992
WAUDFAFC2DN903991,Plymouth,Voyager,1997
1G6DA5EG7A0202243,Saab,9-5,2001
WBAPH73579A983206,Ford,Thunderbird,1994
3CZRE3H36BG268617,Chevrolet,S10 Blazer,1992
SALAB2V60FA976623,Ford,Mustang,1979
SALME1D44CA739448,Bentley,Continental,2008
1FTFW1E84AF341135,Subaru,Legacy,2008
WAUEH74F76N441364,Ford,Excursion,2005
1GYS4DEF9BR520014,Ford,Flex,2009
2T1BU4EE0CC420862,Honda,Accord,2006
1GKS1HE0XER754916,Chevrolet,Astro,1993
WVWGU7ANXAE595174,Pontiac,Vibe,2003
5YMGY0C55BL776406,Ford,LTD,1986
WBAWB33529P968485,Acura,SLX,1998
3C4PDCAB8FT017614,GMC,Sierra 2500HD,2006
WBAWB73558P074423,GMC,Sonoma,1999
WA1CFBFP8BA093255,Audi,A8,2009
3D7TP2CT5AG781434,Infiniti,QX56,2009
WA1MKAFP5AA416153,Kia,Forte,2010
3N1CN7AP2EL540353,Nissan,Armada,2010
1GD312CG7CF797438,Pontiac,Chevette,1987
JN8AS5MT5AW657511,Volkswagen,Golf,1997
3C63D2ELXCG532623,Mitsubishi,3000GT,1995
3VWJX7AJ5AM435544,Buick,Skylark,1998
JN1BV7AP4FM315757,Chevrolet,Citation,1980
WAUJC68E05A449840,Mitsubishi,Galant,1990
WBA3B5C56DF169807,Mitsubishi,Diamante,1994
JN1CV6FE6AM448566,Buick,Century,1988
1FMJK1J53AE369950,Acura,NSX,1994
WVGAV3AX6EW795915,Panoz,Esperante,2007
5GADT13SX72198713,Chevrolet,Suburban,2007
1GD322CG7EF574218,Suzuki,Swift,1996
WBAGH03461D584661,Chevrolet,Beretta,1994
1G6DA8E57C0612589,Chevrolet,Blazer,1995
5TDBY5G18FS593416,BMW,X3,2009
5N1AT2MK5EC875448,Hummer,H2,2007
SCFAD01A25G802453,Ford,Bronco II,1990
WBSBR93496P286313,Isuzu,i-370,2007
5J6TF1H52FL078105,Acura,MDX,2007
5NPDH4AE2BH727092,Mercury,Cougar,1984
1N4AB7AP7EN940850,Ford,LTD,1985
WAU4FAFL6CA849794,Hyundai,Equus,2012
JM1CW2BL7D0847764,Kia,Rio,2001
WAUCFAFC0DN107283,Infiniti,Q,2002
SALWG2VF4FA357515,BMW,750,2006
5J8TB4H58FL117008,Buick,LaCrosse,2007
JTDJTUD32ED116405,Jaguar,S-Type,2008
WBA3B5C59EP351819,Dodge,Intrepid,2003
WAUDF78E97A408524,Lexus,LX,2011
1N4AB7AP4DN590558,Toyota,Land Cruiser,2009
JN8AZ2NE2F9809986,Land Rover,Range Rover,1994
WAUSGAFCXCN366290,Kia,Sedona,2011
WAUNE78PX8A038498,Bentley,Azure,2010
5UXZV4C55DL809939,Mercury,Milan,2011
WBAPH57549N162233,Volkswagen,Passat,1993
1C6RD6FP0CS474324,Nissan,240SX,1994
1FTSW3B54AE401148,Dodge,Ram 3500,2004
WA1VKAFP7AA775914,Chevrolet,Impala,2010
1C4RDJAGXFC691297,Subaru,Tribeca,2006
5UMCL93442L682370,Mercury,Villager,2002
WAUDK78T78A925428,Chevrolet,Suburban,2008
1C4RDJDG9CC048091,Dodge,D250,1992
3VWJP7AT7CM950887,BMW,M3,2010
3C6TD4DT9CG396398,Buick,LeSabre,1987
1N6AD0CU8CC614219,Dodge,Grand Caravan,2006
2G4GR5EK2C9254116,Honda,Accord,1985
WP0AB2A98AS385689,Plymouth,Colt,1994
1FTSW3A59AE723222,Dodge,Nitro,2010
1GD020CG6DZ492159,Ford,F450,2008
WAUHFAFL2CA941633,Subaru,Forester,2006
WVGEF9BP2ED693703,Honda,Passport,2002
JM1DE1KY7C0648757,Aston Martin,Vantage,2011
1N6AF0LY9EN643829,GMC,Sierra 3500,2010
5GADT13S242684671,GMC,Jimmy,2001
5J6TF2H59DL878256,Land Rover,Freelander,2001
WAUAF78E95A448294,Plymouth,Neon,2001
WBADR63491G613216,MINI,MINI,2002
1G4GB5GG6AF675144,Acura,TSX,2005
3D73M4HL7AG020725,Corbin,Sparrow,1999
SCBBR9ZAXBC492927,Mazda,B-Series Plus,1996
JN1BY1AR7FM235276,Ford,Explorer,2011
2B3CA2CV7AH507313,Buick,Electra,1985
19VDE2E54DE417484,Mercedes-Benz,R-Class,2012
WBAYA8C56ED937115,Mercedes-Benz,SL-Class,1998
WAUMGBFL0DA258591,Chrysler,Concorde,1994
WBAUC9C59BV895544,Ford,F350,2006
SCFAD02E89G177063,Nissan,Pathfinder,2009
WAUDG78E16A470155,Cadillac,XLR,2004
1G6DH8E59C0110758,Infiniti,I,1998
JH4KC1F52FC278154,Ford,F-Series Super Duty,2012
WAUWFAFR4BA890954,Chevrolet,Astro,2003
1G6AF5S36D0791893,Citroën,CX,1974
WVWAP7AN8EE378113,Mercedes-Benz,C-Class,2010
WAUKF78E56A587781,Buick,Regal,1999
1FTEX1E87AF638182,Toyota,Celica,1996
2T1KE4EE8BC179211,Suzuki,Vitara,1999
JN1AZ4EH2AM344880,Hyundai,Veracruz,2009
KMHGH4JHXEU192526,Oldsmobile,88,1992
4A31K3DT3AE495722,Kia,Carens,2008
1FTEX1EWXAF483061,Cadillac,DTS,2011
YV4952CF9D1975968,Isuzu,i-280,2006
SALFR2BN5CH357662,Mazda,Tribute,2001
WBSDX9C53BE918445,Chevrolet,HHR,2007
5UXZW0C55D0129448,Subaru,Impreza,2009
WAUDFAFL0BN157439,Dodge,Viper,1999
2D4RN5D15AR915039,Cadillac,DeVille,1992
1G6YV36A475956653,Ford,Festiva,1990
JM1CR2W35A0054170,GMC,Yukon XL 2500,2007
WVGAV7AX9AW481855,Mazda,Mazda3,2006
1C3CDFBA9DD904961,Lexus,LS,1997
1G6DX6ED4B0294083,Mercedes-Benz,C-Class,1995
WAUKH98E47A524159,Acura,RL,2008
3C3CFFCRXDT575793,Mitsubishi,Galant,2003
4T1BF3EK0BU689743,Porsche,Carrera GT,2004
WVGAV3AX0DW174989,BMW,X6 M,2013
WBANE53546C478647,Alfa Romeo,Spider,1994
WVGFF9BP0BD225923,Dodge,Ram 2500,2002
KMHGH4JH8EU438182,Hyundai,Tucson,2011
KNDPB3A26D7827007,Mercedes-Benz,GLK-Class,2011
WVWAA7AJ6CW362286,Mercedes-Benz,E-Class,1992
WAUSH78E66A958943,Audi,R8,2012
SCBLF44J47C475877,Lexus,LS,2008
JHMZE2H7XES505074,Hyundai,XG300,2001
JM1CR2W31A0243818,Lincoln,Town Car,1990
KNDJT2A19B7781593,GMC,Yukon,2012
1D7RV1CP0AS664754,Buick,Park Avenue,1994
WAUGFAFRXDA900877,Cadillac,Escalade,2003
1C4SDHCT1EC299666,Ford,ZX2,2002
1GYS4EEJ8BR305315,Kia,Soul,2010
WBALL5C52FP288318,Mercedes-Benz,CLK-Class,1999
WBAVM5C54DV489555,Dodge,Dakota Club,1998
WVGEF9BP1FD290619,Toyota,Celica,2002
WAULC58E35A054604,Mazda,B-Series,2004
5N1AN0NU2AC097988,BMW,X5,2001
3N1BC1CP4CK940784,Mercedes-Benz,CLK-Class,2005
JM1CR2W35A0285828,Chevrolet,Silverado,2008
2T1BU4EE3CC584736,Chrysler,Fifth Ave,1992
ZFBCFADH2FZ052061,Dodge,Ram 1500,1997
1FTWF3B50AE825038,Pontiac,Sunfire,1999
WA1EV94LX7D180794,Honda,Pilot,2002
1C3CCBCBXCN666274,Mercedes-Benz,GL-Class,2012
1G6DM56T950854127,Toyota,RAV4,2011
SCFBF03B27G507084,Maybach,62,2012
1G6AJ1RX7F0258101,Nissan,Rogue,2008
SCBBR9ZA6CC383124,Ford,Thunderbird,1990
WAUEF78E86A085098,BMW,M3,2003
WVWAP7AN4EE844507,Porsche,911,2009
WBXPA93475W390391,Mazda,B-Series,2005
KMHTC6AD8EU126126,Chevrolet,SSR,2003
WAUBVAFA2AN256089,Ford,E350,2007
4USBT53554L773890,Buick,Terraza,2006
3VWF17AT3FM886309,Nissan,Armada,2012
19UUA8F28CA229161,Infiniti,M,2011
1FTWW3CYXAE242033,Nissan,JUKE,2012
19XFB4F28EE834553,Saturn,S-Series,1993
JN1AZ4EH9FM896108,GMC,Sierra 1500,1999
3D73Y3CL7AG399666,Chevrolet,Blazer,2003
3N6CM0KN3EK518286,Toyota,4Runner,1998
1C3CCBHG4CN057153,Mitsubishi,Pajero,1988
WAUJC58EX5A893138,Saturn,VUE,2009
SCFAB01A88G496742,Chevrolet,G-Series 1500,1997
WAU4FAFL9CA020105,Chevrolet,Malibu,1998
1GYS3HEF4DR463539,BMW,M3,2008
KL4CJFSB1DB014618,Ford,F350,2003
2C3CDYCJ6DH846269,Nissan,Sentra,2009
WBABN33433P937086,Chevrolet,Suburban 2500,1999
3TMJU4GN2FM240173,Mazda,626,1987
5N1AA0NCXBN281939,Nissan,350Z,2007
5N1AZ2MH7FN994854,GMC,Sierra 1500,2011
3C63DRLL8CG234969,Nissan,Pathfinder,2000
1N6AF0LX1FN730214,Volkswagen,Jetta,1988
1GKLRKED1AJ216787,Lamborghini,Countach,1987
KMHCM3AC2AU743292,Pontiac,G8,2008
3N1CN7AP4EK845875,BMW,550,2006
WBALM53599E749446,Pontiac,6000,1985
WAUEL94F95N304807,Lotus,Esprit,1989
SCBBB7ZH8FC399187,Honda,CR-V,2003
3C63DPBL9CG352504,Acura,TSX,2008
KMHHT6KD0DU950172,Chevrolet,Suburban 1500,2011
JN1AZ4EH3BM717586,Lotus,Esprit,1994
WBXPC93467W563248,Mercedes-Benz,SLS AMG,2011
JTDJTUD34ED085531,BMW,X5,2010
19UUA8F27AA772272,Volvo,C70,2006
YV1902FH5D1586401,Plymouth,Volare,1976
WUARU78E37N465182,Porsche,911,2008
WAULD54B83N745674,GMC,Sonoma,1993
WAURV78T48A294747,Porsche,928,1988
WBA4B3C51FD468399,Toyota,Yaris,2008
KNDJT2A57C7392858,Honda,Odyssey,2006
1G4GA5GC5AF789653,Toyota,Land Cruiser,1992
SCFEBBEL2DG952432,BMW,3 Series,2004
JTDKN3DU6B0727056,Porsche,Cayman,2008
2HNYD18292H565102,Pontiac,Firebird,1998
JN1CV6FEXEM591106,Saturn,Ion,2006
WAURVAFD2CN656763,Subaru,Legacy,1998
5UXKR0C59F0248633,Cadillac,Catera,1999
WBSWD9C53AP525887,Mitsubishi,Lancer Evolution,2010
WAUKFBFL0BA729890,Infiniti,QX56,2007
KNDPB3AC4E7907349,Lexus,GX,2006
5N1AT2MK0FC039810,GMC,2500 Club Coupe,1997
WAULT68E64A737305,Lincoln,Town Car,2000
WAULFAFH3BN217754,Dodge,Neon,2004
2G4GN5EC1B9475385,Toyota,4Runner,1997
1G4GA5GR9FF975210,Mazda,Miata MX-5,2004
TRUTC28N351466609,Honda,CR-V,2008
WBAVC53538F517011,Kia,Rio,2001
WBAXG5C51DD944724,Lexus,RX,2003
WAUDFAFC4EN153317,Chevrolet,Impala,2006
3GYFNDEY1BS485837,Chrysler,Town & Country,2010
WBAYP9C52DD324055,Lincoln,Continental Mark VII,1989
WBA3V7C51EP459015,Dodge,Durango,1998
5XYKT3A1XBG771183,Ford,Ranger,2008
SCBDC47L07C912705,Volvo,940,1995
WAUCFAFRXBA207934,Isuzu,Rodeo,2003
JTHBW1GG8E2806646,Toyota,Solara,2007
KMHGC4DE6BU836535,Volvo,S40,2011
JHMGE8G38CS035410,Mazda,MX-6,1991
WDBSK7AA3CF621154,Ford,Tempo,1988
JTHBL1EF3D5781767,Honda,Accord,2000
SAJWA4FBXDL033584,GMC,Yukon XL 2500,2000
SCBLF44J78C904009,Nissan,Murano,2005
5FRYD4H62GB763056,Subaru,XT,1986
WUAUUAFG7F7850937,Toyota,Avalon,2010
5NPEB4AC2CH358613,Subaru,Impreza,2011
1GD311CG8FZ287743,Ford,E350,2009
3N1AB7AP4FY408361,Pontiac,Vibe,2006
WBSBR93445P574187,Hyundai,Tiburon,1997
1G6AG5RX2E0093224,Cadillac,STS-V,2008
1G6KD57Y29U276713,Infiniti,G,2010
WBA4B1C54FD225948,Nissan,Maxima,2010
3C4PDCGB4FT422103,Acura,TL,2005
JH4CL96944C228097,Audi,5000S,1985
3N1BC1APXAL090427,Pontiac,Bonneville,1994
JH4CU2F60AC240415,Buick,Skyhawk,1985
1GYS3GEF2CR723770,Buick,Park Avenue,1997
5UXFB535X5L845032,Bentley,Arnage,2008
3C6TD5KT5CG342976,Mitsubishi,Montero Sport,2000
JA32U2FU2EU273538,Ford,F250,1997
SCFEFBAC1AG960088,Lexus,GX,2006
KNADM5A37D6375041,Maserati,Karif,1989
KL4CJCSB3FB825175,Chevrolet,Sportvan G30,1996
3N1AB6AP5CL954895,Volkswagen,GTI,1993
2LMDJ6JK9FB259952,Toyota,Tacoma,2006
1G6DP1E38D0942540,Dodge,Dakota,2009
5TDBKRFH9FS645269,Lotus,Esprit,2000
WAUSF78K89N487628,Mercedes-Benz,SLK-Class,2001
WAULFAFHXEN650542,BMW,5 Series,2012
1GYUKKEF3AR030203,Jaguar,X-Type,2002
WBA3V9C56F5045592,Nissan,Xterra,2003
WBA3V5C51F5314686,Dodge,Caravan,2007
JH4KA965X1C053333,Hummer,H3,2010
1G4HR54KX1U530872,Porsche,Boxster,2012
3N1CN7AP6EK198928,Toyota,Avalon,2000
WAUVT68E85A087029,Toyota,Celica,1997
5FNRL5H22EB642441,Lexus,SC,1995
JH4CU2F82EC683026,Hyundai,Azera,2008
2C3CCARG8FH627497,BMW,550,2006
YV1672MC6DJ588972,Isuzu,VehiCROSS,2001
JN8AZ1MUXDW546373,Dodge,Dakota Club,1992
WAUYP64B71N457936,Lexus,ES,1999
1FMJK1H59BE914931,Nissan,Maxima,2006
1GD422CG5EF322021,Pontiac,G6,2007
TRURD38J191645019,Ford,LTD Crown Victoria,1986
WA1WGAFP3DA237527,GMC,Jimmy,1997
2C4JRGAG8DR835273,Volvo,S80,2012
WVGEF9BP3FD848275,Audi,4000s,1985
3VWML7AJ1DM611678,Mercury,Lynx,1985
1GT3C0BG6AF545553,Isuzu,Ascender,2007
WAULC68E83A488407,Saab,9-3,2006
5N1AR1NB1BC317650,Mercedes-Benz,E-Class,2005
JTHBE1KS1A0329742,Honda,CR-X,1985
1G6DA8EY0B0634653,Pontiac,Bonneville,1993
19UUA66296A297736,Lamborghini,Diablo,1999
JHMZE2H32DS254952,Pontiac,Grand Am,2005
WBAWC7C58AE987658,Bentley,Continental,2008
WAULF98K19N102796,Toyota,Tundra,2010
JTHFE2C22B2386902,Ford,Crown Victoria,1998
1G6AP5SX7F0245302,Pontiac,Gemini,1987
1G6AJ5S31F0836207,Dodge,Intrepid,2001
WAUDFAFC0FN717868,Chevrolet,HHR,2006
JTEBU4BF0DK161802,Land Rover,LR2,2012
5UXFA13525L094603,Buick,Riviera,1993
JH4CL95924C341838,BMW,X3,2012
WBALL5C5XDJ239349,Isuzu,i-Series,2008
19UUA65525A381519,Mitsubishi,L300,1988
WAUFFBFL3CN416795,Mitsubishi,Galant,1993
1N6AA0CC1CN698596,Cadillac,DeVille,1993
1C6RD7HTXCS507068,Morgan,Aero 8,2007
1GYS4JEF2CR673320,Volkswagen,Fox,1987
WVWGU7AN2CE022269,Honda,Fit,2011
JN8AZ1FY5EW551546,Buick,Roadmaster,1991
5N1AN0NUXFN871187,Chevrolet,Lumina,1997
3A4GY5F91AT073077,Mercedes-Benz,E-Class,2001
